"","veh_value","exposure","numclaims","veh_body","veh_age","gender","area","agecat","claimsize"
"49608",19.9,0.67077339,2,"PANVN",2,"M","A",1,23623
"17768",37.700001,0.3093771,1,"STNWG",2,"F","E",5,44723
"27325",10.1,0.50924033,1,"HBACK",2,"M","E",2,10656
"6406",21.199999,0.52566743,1,"SEDAN",2,"F","C",4,3788
"65350",19.1,0.99931562,1,"STNWG",4,"F","F",3,6695
"831",19.9,0.90349078,1,"STNWG",2,"M","B",3,2000
"40210",57,0.65708423,1,"STNWG",1,"M","F",1,5025
"52852",12.3,0.75564682,1,"MIBUS",4,"F","F",3,13213
"59841",5.2999997,0.57494873,1,"SEDAN",4,"F","A",6,4341
"2936",26.099998,0.60232723,1,"STNWG",4,"F","E",5,3766
"46126",18.4,0.72005469,1,"HBACK",2,"F","D",6,10864
"60129",7.0999999,0.25735801,1,"HBACK",3,"F","A",2,2000
"60788",26.199999,0.36413419,1,"HDTOP",2,"M","A",2,2000
"39626",12.200001,0.99931562,1,"HBACK",3,"M","A",2,10172
"41590",7.0999999,0.38056129,1,"SEDAN",4,"F","C",3,2000
"26053",28.800001,0.2354552,1,"TRUCK",3,"M","F",5,128186
"25441",8.3999996,0.22176591,1,"HBACK",3,"F","D",5,4272
"41326",4.5999999,0.076659799,1,"HBACK",4,"F","C",4,4859
"59119",15.78,0.57768649,1,"HBACK",1,"M","A",4,4609
"47439",17.1,0.70910329,1,"SEDAN",2,"F","D",4,46831
"9773",15.599999,0.62149209,1,"SEDAN",3,"M","B",3,2000
"38388",18.4,0.67351133,1,"MIBUS",4,"F","C",2,2000
"47107",9.8000002,0.038329899,1,"SEDAN",3,"F","A",2,2000
"36887",15.700001,0.47091031,1,"SEDAN",2,"M","B",4,4678
"6152",7.5999999,0.87063652,1,"PANVN",4,"F","D",4,3899
"43617",20.200001,0.9609856,1,"HBACK",1,"F","D",3,8249
"2175",14.8,0.2354552,1,"HBACK",1,"M","D",1,92788
"32119",7.9000001,0.38877481,1,"TRUCK",4,"M","C",2,11802
"23613",18.200001,0.51745379,1,"STNWG",4,"M","D",2,7587
"44291",6.9000001,0.75564682,1,"HBACK",4,"F","C",3,5525
"29364",18.4,0.68172479,1,"HBACK",2,"F","A",2,2000
"28228",33.587997,0.26830941,1,"SEDAN",1,"F","C",4,2000
"62313",5.7999997,0.55852163,3,"SEDAN",4,"M","A",3,13532
"55389",14.8,0.96919918,1,"SEDAN",3,"M","B",4,4466
"37741",17.1,0.72826833,1,"SEDAN",2,"F","C",1,2000
"7554",15.599999,0.41067761,1,"STNWG",4,"F","D",6,4800
"31597",3.6000001,0.8733744,1,"SEDAN",4,"M","B",2,2000
"3796",15.599999,0.2710472,1,"HDTOP",4,"M","D",2,2523
"51983",8.3000002,0.30116361,1,"STNWG",4,"M","C",4,274226
"5913",16.5,0.19438741,1,"SEDAN",3,"F","A",4,15815
"42109",49.799999,0.26283371,1,"STNWG",2,"F","D",2,3900
"16210",18.799999,0.58863789,1,"SEDAN",1,"F","C",1,48828
"65173",17.1,0.24914441,1,"UTE",4,"M","D",3,26250
"42166",9.5,0.73648179,1,"SEDAN",4,"F","E",4,2000
"44458",22.200001,0.34496921,1,"SEDAN",2,"F","A",2,5509
"62237",11.7,0.79397672,1,"HBACK",2,"M","D",2,3537
"10371",27.9,0.84873372,1,"BUS",3,"F","F",2,26207
"23480",16.200001,0.52019173,1,"SEDAN",2,"M","C",3,8810
"50549",11.7,0.30663931,1,"HBACK",2,"F","B",1,2000
"47062",12.799999,0.58042443,1,"HBACK",4,"F","C",4,22751
"38916",13.400001,0.64339489,1,"SEDAN",3,"F","C",3,92886
"27533",50.599998,0.48459959,2,"STNWG",1,"F","D",4,10511
"5266",17.6,0.77481169,1,"HBACK",1,"F","B",1,28219
"67153",15.599999,0.72826833,1,"SEDAN",2,"F","A",4,2000
"1553",31.700001,0.9007529,1,"TRUCK",3,"M","E",5,5120
"31494",14.6,0.51745379,1,"SEDAN",3,"F","C",2,2434
"10195",24.200001,0.50102669,1,"UTE",3,"M","B",2,3899
"24189",13.9,0.81040382,1,"SEDAN",3,"M","B",2,9204
"16448",13.200001,0.2464066,1,"SEDAN",3,"F","B",4,2000
"6730",7.6999998,0.052019201,1,"HBACK",4,"F","A",2,3223
"34563",4.4000001,0.23271731,1,"HBACK",4,"F","D",2,15776
"39652",26.199999,0.98836422,1,"STNWG",3,"M","A",4,34091
"54672",7,0.99657768,1,"STNWG",4,"M","D",4,25318
"43698",6.9000001,0.63518143,1,"HBACK",3,"F","A",3,41156
"24718",18.300001,0.1368925,1,"SEDAN",1,"F","A",6,8698
"31404",12.6,0.3367556,1,"UTE",4,"F","A",4,11406
"21262",10.2,0.049281299,1,"HBACK",4,"F","C",4,2000
"5977",13.6,0.68720049,1,"HBACK",3,"F","C",1,48535
"27089",3.0999999,0.052019201,1,"SEDAN",4,"M","C",1,9207
"29526",18.4,0.109514,1,"SEDAN",4,"F","A",1,2000
"19398",11.5,0.17248461,1,"HBACK",2,"F","C",2,7080
"20933",40,0.80492812,1,"STNWG",3,"M","F",5,9733
"26067",14.9,0.42436689,1,"HBACK",1,"F","A",6,3765
"11169",6.3000002,0.74195749,1,"UTE",4,"M","B",5,4109
"27903",16.699999,0.68993843,1,"HDTOP",3,"F","A",5,3537
"62817",22.5,0.35318279,1,"SEDAN",2,"M","C",6,5259
"13367",32.299999,0.8569473,1,"STNWG",3,"M","E",3,13667
"31952",18.9,0.73100609,1,"BUS",3,"F","C",3,8764
"13685",11.2,0.1067762,1,"HBACK",3,"F","F",3,2000
"44786",8.1999998,0.61601639,1,"HBACK",3,"F","C",1,11834
"37270",31.619999,0.9664613,1,"UTE",1,"M","B",5,13174
"31097",21.989998,0.1149897,1,"SEDAN",1,"F","B",2,3762
"63324",27.6,0.62696779,1,"STNWG",1,"F","A",2,14072
"29147",13,0.71457899,1,"HBACK",2,"F","B",1,3220
"49125",14.099999,0.91444218,2,"COUPE",3,"F","A",1,10887
"40588",22.299999,0.99110198,1,"TRUCK",1,"M","F",3,3537
"63387",4.0999999,0.0136893,1,"SEDAN",4,"F","C",1,42323
"28386",12.7,0.30663931,1,"STNWG",4,"M","D",6,4418
"22518",8.5,0.2874743,1,"SEDAN",4,"M","A",4,98584
"66722",15.700001,0.038329899,1,"UTE",3,"M","C",1,106280
"16364",10.1,0.38056129,1,"HBACK",2,"F","A",3,96154
"62747",25.200001,0.24366871,1,"STNWG",3,"F","F",3,28858
"10550",11.3,0.1697467,1,"STNWG",4,"F","D",3,8635
"62193",39.900002,0.64613283,1,"STNWG",2,"F","C",5,3900
"1813",10.5,0.098562598,1,"SEDAN",3,"F","C",5,88707
"22630",19.799999,0.93086928,1,"HBACK",1,"F","C",2,2000
"42045",4.3000002,0.73374403,1,"HBACK",4,"F","B",6,2000
"54730",24.300001,0.9117043,2,"SEDAN",1,"F","D",4,37085
"61631",14.099999,0.971937,1,"SEDAN",3,"F","C",2,20843
"56845",11.5,0.66255993,1,"HBACK",3,"M","C",3,2000
"41830",40,0.99931562,1,"STNWG",3,"F","B",5,3537
"41488",15.8,0.64613283,1,"TRUCK",1,"M","C",3,68446
"52435",23.800001,0.61054069,1,"STNWG",3,"F","B",2,11783
"42859",12.7,0.72826833,1,"SEDAN",3,"M","C",5,20232
"25417",16.6,0.19986311,1,"STNWG",3,"M","A",4,7791
"130",21.5,0.65434629,1,"SEDAN",3,"F","A",5,2000
"20562",15.2,0.8843258,2,"SEDAN",3,"F","C",4,20100
"8607",37.799999,0.85968512,1,"STNWG",1,"F","D",5,3900
"40537",23.800001,0.45722109,1,"SEDAN",1,"M","B",5,2000
"47814",10,0.68993843,1,"HBACK",3,"F","A",2,11463
"26521",2.8999999,0.1916496,1,"HBACK",4,"M","B",4,2000
"6384",25.9,0.99110198,1,"SEDAN",1,"F","D",2,3537
"13698",17.799999,0.86516082,1,"HBACK",2,"F","C",6,3851
"32105",8.6999998,0.82683092,1,"SEDAN",3,"F","C",4,6577
"53641",23.800001,0.72005469,1,"STNWG",2,"F","D",2,7341
"12765",19.299999,0.8350445,1,"STNWG",4,"M","F",4,3899
"62056",14.9,0.93634498,1,"HDTOP",4,"M","D",2,2000
"31089",17.700001,0.87063652,1,"SEDAN",2,"F","B",2,2000
"51364",58.990002,0.37234771,1,"STNWG",1,"F","F",3,11318
"61611",12.9,0.41067761,2,"SEDAN",3,"M","A",6,11996
"7093",11.4,0.59137583,1,"SEDAN",3,"F","C",6,39315
"9200",25.799999,0.46543461,1,"SEDAN",1,"F","C",3,20970
"42260",6.9000001,0.99931562,1,"HBACK",4,"F","A",3,14209
"39276",15,0.66529769,1,"HBACK",3,"F","C",3,15100
"29975",30.1,0.74195749,2,"UTE",1,"M","A",1,39978
"1282",12.6,0.9007529,1,"HBACK",2,"M","C",6,51883
"12748",11.4,0.49007529,1,"SEDAN",3,"F","C",2,64235
"4866",16,0.28473651,1,"UTE",3,"M","A",3,31123
"56357",15.4,0.90349078,1,"SEDAN",4,"F","D",4,3945
"63451",25.5,0.25188231,1,"SEDAN",1,"M","D",5,17404
"12138",16.5,0.16153321,1,"HBACK",3,"F","A",2,2000
"57630",4.7999997,0.99931562,1,"MIBUS",4,"F","D",4,6207
"19834",12.799999,0.8350445,1,"SEDAN",3,"M","A",6,2000
"11848",11.5,0.52566743,1,"HBACK",3,"F","B",2,60094
"58269",12.1,0.63791919,1,"SEDAN",3,"M","B",3,19815
"62458",14.6,0.68172479,1,"HBACK",1,"F","A",4,2000
"58187",25.4,0.95277208,1,"STNWG",3,"F","F",4,12929
"38831",9.5,0.75017112,1,"HBACK",3,"M","E",5,32556
"27522",10,0.50376463,1,"HBACK",4,"F","B",4,2000
"13699",22.799999,0.76112252,1,"HBACK",2,"F","C",4,3318
"9647",16.900002,0.38877481,1,"HBACK",2,"F","A",3,3520
"8112",37.299999,0.807666,1,"STNWG",2,"M","A",2,24600
"32328",21.98,0.32854211,1,"HBACK",1,"M","C",5,10593
"48355",25,0.98288852,1,"SEDAN",2,"M","D",3,3900
"21129",7.2000003,0.81040382,1,"STNWG",4,"F","C",3,24789
"58648",9.5,0.64887059,1,"SEDAN",4,"F","E",2,19314
"1894",27.5,0.1149897,1,"STNWG",1,"F","D",1,2000
"44971",8.1999998,0.47091031,1,"HBACK",4,"F","D",2,32082
"36845",19.6,0.090349101,1,"SEDAN",2,"M","A",2,15849
"46187",7,0.71457899,2,"STNWG",4,"F","A",4,111172
"8103",19.799999,0.26830941,1,"SEDAN",2,"M","C",4,6006
"23222",23.599998,0.81040382,1,"UTE",3,"M","E",1,3691
"63350",40.799999,0.54757023,1,"STNWG",1,"F","C",2,8609
"67771",39.299999,0.90896648,1,"TRUCK",2,"M","E",2,11906
"23949",10.1,0.80492812,1,"SEDAN",3,"M","B",5,2000
"28052",36.5,0.79945242,1,"MCARA",2,"M","A",3,3700
"45376",24.9,0.42436689,1,"SEDAN",1,"M","C",3,2000
"48730",9.1999998,0.62970573,1,"STNWG",4,"M","B",5,3538
"45517",15.643,0.62149209,1,"HBACK",1,"M","C",2,2000
"58507",25.1,0.26830941,1,"STNWG",2,"F","A",3,27246
"31790",14.700001,0.69815189,1,"HBACK",1,"F","B",5,7024
"56626",28.800001,0.35044491,1,"SEDAN",2,"F","B",4,38565
"41934",20.200001,0.18343601,1,"HDTOP",3,"M","E",1,124819
"54158",21.5,0.25735801,1,"HBACK",3,"M","C",2,3450
"7901",20.599998,0.57221079,1,"SEDAN",2,"M","C",5,2000
"51916",15.1,0.019165,1,"HBACK",3,"M","F",4,9835
"1605",12.9,0.69541413,1,"SEDAN",3,"M","C",3,6351
"54465",23.900002,0.73921973,1,"STNWG",4,"M","E",3,12040
"60637",8.6999998,0.88706368,1,"HBACK",3,"F","A",5,25417
"61135",25,0.63518143,1,"HDTOP",1,"F","B",4,3537
"31562",29.400002,0.8733744,1,"STNWG",2,"F","A",3,7740
"39919",10.599999,0.052019201,1,"SEDAN",4,"F","B",5,78043
"44194",15.8,0.63518143,2,"SEDAN",1,"F","B",1,11645
"18591",9.3000002,0.9281314,1,"SEDAN",4,"F","C",5,2000
"9629",23.199999,0.26283371,1,"STNWG",3,"M","D",2,3900
"116",11.599999,0.59685153,2,"STNWG",4,"F","B",2,7392
"62215",9.8999996,0.65434629,1,"STNWG",4,"M","B",4,2000
"32265",13.6,0.72826833,1,"HBACK",3,"F","C",5,2000
"55696",20.699999,0.58316219,1,"STNWG",1,"F","D",6,2000
"26115",36.099998,0.77481169,1,"COUPE",2,"F","B",3,106233
"43858",10.1,0.36687201,1,"SEDAN",4,"M","A",4,4282
"1773",13.8,0.63244349,1,"SEDAN",3,"M","C",4,2000
"19807",19.199999,0.56947303,1,"HBACK",2,"F","C",1,55510
"62816",18.099998,0.43805611,1,"HBACK",2,"F","C",4,13599
"7670",19.400002,0.862423,1,"SEDAN",2,"F","A",1,2000
"52920",40,0.47091031,1,"STNWG",3,"M","F",2,4560
"5897",15.900001,0.19438741,1,"SEDAN",1,"F","A",3,7558
"41037",16.1,0.98836422,1,"TRUCK",4,"M","D",3,25871
"5433",12.7,0.8021903,1,"SEDAN",4,"F","E",4,4800
"64984",16.299999,0.54209453,1,"STNWG",2,"M","A",2,36753
"26910",7.4000001,0.28473651,1,"HBACK",4,"F","C",3,148166
"29461",15,0.40520191,1,"HBACK",1,"F","D",3,12489
"7500",13.8,0.86516082,1,"SEDAN",2,"F","C",1,2000
"1906",12.6,0.91718,1,"HBACK",2,"F","C",2,3426
"39286",25,0.68720049,1,"HDTOP",1,"M","A",3,18692
"59712",43.099998,0.73921973,1,"STNWG",1,"F","A",3,15522
"35410",31.099998,0.14510611,1,"MCARA",3,"M","C",3,3899
"40242",23.099998,0.67077339,1,"HBACK",1,"M","C",3,5112
"53251",34,0.30663931,1,"STNWG",2,"F","C",5,6943
"23205",8.8000002,0.18891171,1,"HBACK",3,"M","A",1,44500
"24388",25.599998,0.78850102,1,"SEDAN",1,"F","C",3,14127
"63814",30.799999,0.44353181,1,"STNWG",3,"F","C",3,3684
"48909",15.599999,0.36960989,1,"STNWG",4,"F","A",3,3538
"39441",8.8000002,0.35318279,1,"COUPE",3,"F","B",3,2628
"3616",15.900001,0.62696779,1,"SEDAN",3,"M","A",4,6964
"46441",7.3000002,0.66529769,1,"SEDAN",4,"F","B",4,4318
"37358",13.49,0.63244349,2,"HBACK",1,"F","C",4,30748
"55014",45.900002,0.99931562,1,"STNWG",2,"M","A",4,7015
"26704",30.4,0.99931562,1,"TRUCK",3,"M","D",2,12578
"64647",22.9,0.41615331,1,"SEDAN",1,"F","C",3,11968
"21161",12.3,0.81040382,1,"SEDAN",3,"F","D",4,20583
"65087",14.299999,0.3258042,1,"SEDAN",2,"F","B",5,17463
"58227",30.5,0.95277208,1,"STNWG",2,"F","C",4,2747
"797",12.9,0.90896648,1,"SEDAN",3,"F","E",6,17538
"44729",7,0.36139631,1,"UTE",4,"M","B",5,24492
"5903",4.0999999,0.3148528,1,"HBACK",4,"M","C",5,13919
"33309",19.299999,0.90896648,1,"PANVN",3,"M","B",2,3450
"34970",9.3000002,0.47091031,1,"HBACK",3,"M","A",5,53084
"62063",14.2,0.93634498,1,"SEDAN",3,"M","A",2,3344
"33030",9.1000004,0.48186171,1,"SEDAN",3,"F","A",4,29483
"12918",16.835001,0.99931562,1,"HBACK",1,"F","C",4,7129
"4332",22.4,0.807666,1,"STNWG",3,"M","B",2,2000
"61767",26.6,0.99931562,1,"TRUCK",3,"F","C",3,20778
"51319",7.6999998,0.98562628,1,"HBACK",3,"F","C",3,3629
"10330",25.4,0.44626969,1,"STNWG",3,"M","E",3,59505
"43694",32.599998,0.59958929,1,"STNWG",2,"F","C",6,19790
"13911",7.0999999,0.38603699,1,"SEDAN",4,"M","C",4,19759
"25976",20.9,0.73100609,1,"SEDAN",2,"M","A",3,13070
"66852",19,0.8514716,1,"HBACK",1,"F","F",6,16721
"16943",20.599998,0.58590013,2,"SEDAN",2,"M","C",4,6190
"30280",22.6,0.95277208,1,"HBACK",1,"M","A",3,2544
"21692",15,0.53388089,1,"HBACK",1,"M","B",6,3761
"52815",16.900002,0.59411359,1,"SEDAN",3,"M","C",2,6235
"50778",37.200001,0.084873401,1,"STNWG",2,"M","F",2,5454
"51058",29.300001,0.39425051,1,"STNWG",3,"F","C",4,3571
"55770",27.4,0.9609856,1,"STNWG",3,"F","A",5,28190
"67095",17.1,0.2819986,1,"SEDAN",2,"F","A",4,27651
"12917",21,0.85968512,1,"STNWG",4,"M","D",2,2000
"28349",8.3999996,0.69267619,1,"HBACK",3,"F","E",4,136144
"23688",4.0999999,0.32306641,1,"HBACK",4,"F","A",5,17288
"59009",19.6,0.18343601,1,"SEDAN",2,"M","C",4,2076
"15331",3.7,0.35592061,1,"HBACK",4,"F","C",3,2000
"44887",13.200001,0.42984259,1,"SEDAN",3,"F","C",3,2000
"1942",17.4,0.50924033,1,"STNWG",4,"M","C",2,2000
"31085",22.700001,0.45722109,1,"SEDAN",2,"F","C",4,5159
"23612",32.5,0.54483229,1,"STNWG",1,"F","A",3,9452
"31388",22.700001,0.73374403,1,"STNWG",3,"F","A",3,16317
"57646",18.200001,0.65708423,1,"HBACK",2,"F","B",4,28495
"5995",13.9,0.8186174,1,"HBACK",1,"F","D",2,7290
"36532",4.5999999,0.83778232,1,"HBACK",4,"F","A",6,10372
"27881",12.200001,0.2984257,1,"HDTOP",4,"M","B",3,128242
"5665",17.5,0.88706368,1,"SEDAN",2,"F","B",5,2000
"26988",32.400002,0.72005469,1,"STNWG",2,"F","A",2,74379
"49484",23.599998,0.94729638,1,"UTE",3,"F","C",4,32107
"67368",38.099998,0.83230662,1,"STNWG",3,"F","E",3,57327
"26229",28.4,0.21081451,1,"STNWG",3,"M","F",2,3890
"10106",6.5,0.1478439,1,"STNWG",4,"M","B",1,3691
"820",16.5,0.69541413,1,"STNWG",4,"M","F",1,114690
"12774",48.400002,0.25188231,1,"STNWG",1,"F","D",3,13003
"30503",44.5,0.49007529,1,"TRUCK",1,"M","F",3,14431
"52299",8.8000002,0.97741282,1,"STNWG",4,"M","A",5,7858
"43847",18.200001,0.98562628,1,"SEDAN",2,"F","C",1,3677
"36177",14.400001,0.41615331,1,"SEDAN",3,"F","E",3,2000
"57198",8.8999996,0.62696779,1,"HBACK",3,"M","A",2,16897
"43705",26.099998,0.65708423,1,"UTE",3,"M","F",1,123115
"12616",7.2000003,0.70362759,3,"HBACK",4,"M","A",1,26776
"53487",13.200001,0.56125939,1,"STNWG",3,"M","D",6,7349
"44880",12.3,0.43258041,2,"STNWG",4,"F","A",6,7189
"62025",16.4,0.93634498,1,"SEDAN",2,"F","C",4,15343
"2815",10.8,0.2135524,1,"HBACK",3,"F","C",4,23709
"28292",30.4,0.2464066,1,"HDTOP",1,"F","C",2,4041
"36060",12.6,0.50650239,2,"HBACK",2,"M","C",4,12317
"23577",6.9000001,0.62423003,1,"HBACK",4,"F","A",2,3450
"31334",27.5,0.91718,1,"STNWG",3,"F","D",6,3537
"50195",24.200001,0.62149209,1,"SEDAN",1,"M","B",3,11415
"44710",32.200001,0.98015058,1,"STNWG",1,"M","B",5,8367
"54041",3.8,0.971937,1,"SEDAN",4,"M","D",5,7005
"47541",6.1000004,0.40520191,1,"STNWG",4,"M","C",4,48685
"6428",5.4000001,0.48459959,1,"SEDAN",4,"F","B",2,40030
"58899",12.6,0.33401781,1,"HBACK",2,"F","B",5,135338
"41833",10.599999,0.1177276,1,"SEDAN",3,"F","C",4,2000
"65506",13.099999,0.91444218,1,"HBACK",1,"F","C",3,10414
"8209",15.8,0.39698839,1,"UTE",3,"M","B",5,113793
"45306",32.200001,0.35044491,2,"SEDAN",1,"F","B",4,8349
"9063",18.200001,0.21629021,1,"SEDAN",2,"M","C",4,116167
"23645",29.300001,0.38877481,1,"SEDAN",1,"M","B",1,4587
"1585",39.400002,0.58316219,1,"STNWG",2,"F","D",4,4800
"14385",13.099999,0.862423,1,"SEDAN",2,"M","B",4,25126
"43977",13.7,0.73374403,1,"HBACK",2,"F","C",1,7767
"6345",15.5,0.80492812,1,"SEDAN",4,"M","B",3,3450
"61331",15.78,0.8843258,1,"HBACK",1,"F","B",4,33137
"48381",13.200001,0.99657768,2,"HBACK",3,"F","B",2,18371
"3942",23.4,0.77207392,2,"MIBUS",4,"F","E",4,19878
"67467",18,0.64887059,1,"SEDAN",2,"M","A",4,16302
"24199",16.299999,0.80492812,1,"SEDAN",2,"F","A",2,59698
"17",15.1,0.99383992,1,"SEDAN",3,"F","F",4,8066
"3015",12.1,0.59958929,1,"HBACK",2,"F","D",1,17027
"58432",20,0.60506499,1,"UTE",2,"M","C",6,3691
"8142",10.299999,0.42984259,1,"HBACK",3,"F","E",1,3900
"58646",4.0999999,0.057494901,1,"SEDAN",4,"F","A",4,42902
"125",35.599998,0.9062286,1,"MCARA",3,"M","F",4,32306
"3688",18.6,0.8569473,1,"HBACK",1,"M","A",5,8821
"61229",24.200001,0.57221079,1,"SEDAN",1,"M","B",3,24037
"49405",11.799999,0.41341549,1,"SEDAN",3,"F","C",4,45776
"7203",5,0.69815189,1,"HBACK",4,"F","E",4,36077
"37097",10.299999,0.1916496,1,"SEDAN",3,"F","C",5,2000
"25122",34.400002,0.73648179,1,"TRUCK",2,"F","F",4,3537
"12415",18.099998,0.8405202,1,"SEDAN",2,"F","C",6,15995
"31011",6,0.70088983,1,"PANVN",4,"M","A",1,11758
"1841",6.5,0.63518143,1,"SEDAN",4,"F","E",4,2000
"13117",3.0999999,0.0219028,1,"SEDAN",4,"M","C",5,27173
"32334",40,0.8350445,1,"STNWG",2,"M","C",1,2000
"39117",8.3000002,0.68720049,1,"HBACK",3,"F","D",5,31142
"5919",11.900001,0.37782341,1,"HBACK",4,"M","C",4,15515
"309",43.200001,0.64613283,1,"STNWG",2,"M","A",5,7368
"31887",16.1,0.46543461,1,"UTE",3,"F","E",3,3900
"32860",16.299999,0.38877481,1,"SEDAN",2,"F","A",6,2000
"57991",16,0.98015058,1,"HBACK",2,"F","E",3,8873
"63039",29.9,0.55030799,1,"STNWG",2,"F","E",2,31866
"8575",29.9,0.85968512,1,"TRUCK",1,"F","D",2,16976
"34470",44.099998,0.91718,1,"STNWG",2,"M","C",3,8600
"38982",25.599998,0.40246409,1,"STNWG",3,"F","E",2,31905
"55514",9.7000008,0.98015058,2,"SEDAN",3,"F","D",2,66073
"51258",28.800001,0.83778232,1,"HDTOP",2,"F","B",2,11635
"22464",42.800003,0.21081451,1,"STNWG",2,"M","F",2,7732
"2221",14.5,0.99110198,1,"UTE",4,"M","E",1,3900
"63877",7.3000002,0.2710472,1,"BUS",4,"M","E",1,4900
"34326",15.5,0.71731693,1,"STNWG",3,"F","F",3,3900
"47006",19.199999,0.1067762,1,"SEDAN",2,"M","C",6,12405
"29448",8.6999998,0.47912389,1,"HBACK",3,"F","B",4,2000
"10606",28.299999,0.46269679,1,"STNWG",2,"F","C",2,265072
